	                {[S -> .function functions, $]}	0	{[S -> .function functions, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(147, {)	{[block_stmt -> {.stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	185	{[block_stmt -> {.stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmts -> .stmt stmts, }]; [stmts -> .$, }]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(148, bool_expression)	{[logical_expression -> ! expression bool_expression., )]}	186	{[logical_expression -> ! expression bool_expression., )]}
goto(148, lop)	{[bool_expression -> lop.expression bool_expression, )]}	150	 
goto(148, $)	{[bool_expression -> $., )]}	151	 
goto(148, &&)	{[lop -> &&., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	152	 
goto(148, ||)	{[lop -> ||., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	153	 
goto(150, expression)	{[bool_expression -> lop expression.bool_expression, )]}	187	{[bool_expression -> lop expression.bool_expression, )]; [bool_expression -> .lop expression bool_expression, )]; [bool_expression -> .$, )]; [lop -> .&&, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [lop -> .||, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(150, value)	{[expression -> value.operation, $/&&/||]}	119	 
goto(150, item)	{[value -> item.value', $/>/>=/	52	 
goto(150, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(150, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(150, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(150, const)	{[factor -> const., *///%/$]}	56	 
goto(150, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(150, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(150, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(150, STR)	{[const -> STR., *///%/$]}	60	 
goto(150, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(150, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(150, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(155, value)	{[operation -> compare_op value., $/&&/||]}	188	{[operation -> compare_op value., $/&&/||]}
goto(155, item)	{[value -> item.value', $/&&/||]}	189	{[value -> item.value', $/&&/||]; [value' -> .+ item value', $/&&/||]; [value' -> .- item value', $/&&/||]; [value' -> .$, $/&&/||]}
goto(155, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(155, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(155, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(155, const)	{[factor -> const., *///%/$]}	56	 
goto(155, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(155, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(155, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(155, STR)	{[const -> STR., *///%/$]}	60	 
goto(155, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(155, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(155, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(156, value)	{[operation -> equal_op value., $/&&/||]}	190	{[operation -> equal_op value., $/&&/||]}
goto(156, item)	{[value -> item.value', $/&&/||]}	189	 
goto(156, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(156, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(156, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(156, const)	{[factor -> const., *///%/$]}	56	 
goto(156, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(156, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(156, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(156, STR)	{[const -> STR., *///%/$]}	60	 
goto(156, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(156, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(156, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(158, isnull_expr)	{[iteration_stmt -> for ( isnull_expr ; isnull_expr.; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	191	{[iteration_stmt -> for ( isnull_expr ; isnull_expr.; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(158, expression)	{[isnull_expr -> expression., ;]}	73	 
goto(158, $)	{[isnull_expr -> $., ;]}	74	 
goto(158, value)	{[expression -> value.operation, ;]}	51	 
goto(158, item)	{[value -> item.value', $/>/>=/	52	 
goto(158, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(158, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(158, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(158, const)	{[factor -> const., *///%/$]}	56	 
goto(158, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(158, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(158, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(158, STR)	{[const -> STR., *///%/$]}	60	 
goto(158, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(158, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(158, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(159, logical_expression)	{[iteration_stmt -> do block_stmt while ( logical_expression.) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	192	{[iteration_stmt -> do block_stmt while ( logical_expression.) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(159, !)	{[logical_expression -> !.expression bool_expression, )]}	117	 
goto(159, expression)	{[logical_expression -> expression.bool_expression, )]}	118	 
goto(159, value)	{[expression -> value.operation, $/&&/||]}	119	 
goto(159, item)	{[value -> item.value', $/>/>=/	52	 
goto(159, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(159, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(159, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(159, const)	{[factor -> const., *///%/$]}	56	 
goto(159, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(159, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(159, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(159, STR)	{[const -> STR., *///%/$]}	60	 
goto(159, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(159, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(159, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(161, block_stmt)	{[branch_stmt -> if ( logical_expression ) block_stmt.result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	193	{[branch_stmt -> if ( logical_expression ) block_stmt.result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [result -> .else block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [result -> .$, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(161, {)	{[block_stmt -> {.stmts }, else/$]}	194	{[block_stmt -> {.stmts }, else/$]; [stmts -> .stmt stmts, }]; [stmts -> .$, }]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(162, {)	{[branch_stmt -> switch ( id ) {.case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	195	{[branch_stmt -> switch ( id ) {.case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [case_stmt -> .case const : stmts, $/case]}
goto(164, item)	{[value' -> + item.value', ;]}	196	{[value' -> + item.value', ;]; [value' -> .+ item value', ;]; [value' -> .- item value', ;]; [value' -> .$, ;]}
goto(164, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(164, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(164, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(164, const)	{[factor -> const., *///%/$]}	56	 
goto(164, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(164, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(164, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(164, STR)	{[const -> STR., *///%/$]}	60	 
goto(164, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(164, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(164, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(165, item)	{[value' -> - item.value', ;]}	197	{[value' -> - item.value', ;]; [value' -> .+ item value', ;]; [value' -> .- item value', ;]; [value' -> .$, ;]}
goto(165, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(165, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(165, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(165, const)	{[factor -> const., *///%/$]}	56	 
goto(165, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(165, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(165, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(165, STR)	{[const -> STR., *///%/$]}	60	 
goto(165, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(165, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(165, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(172, value')	{[value' -> + item value'., )]}	198	{[value' -> + item value'., )]}
goto(172, +)	{[value' -> +.item value', )]}	135	 
goto(172, -)	{[value' -> -.item value', )]}	136	 
goto(172, $)	{[value' -> $., )]}	137	 
goto(173, value')	{[value' -> - item value'., )]}	199	{[value' -> - item value'., )]}
goto(173, +)	{[value' -> +.item value', )]}	135	 
goto(173, -)	{[value' -> -.item value', )]}	136	 
goto(173, $)	{[value' -> $., )]}	137	 
goto(176, isnull_expr)	{[isnull_es -> , isnull_expr.isnull_es, )]}	200	{[isnull_es -> , isnull_expr.isnull_es, )]; [isnull_es -> ., isnull_expr isnull_es, )]; [isnull_es -> .$, )]}
goto(176, expression)	{[isnull_expr -> expression., ,/$]}	140	 
goto(176, $)	{[isnull_expr -> $., ,/$]}	141	 
goto(176, value)	{[expression -> value.operation, ,/$]}	142	 
goto(176, item)	{[value -> item.value', $/>/>=/	52	 
goto(176, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(176, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(176, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(176, const)	{[factor -> const., *///%/$]}	56	 
goto(176, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(176, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(176, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(176, STR)	{[const -> STR., *///%/$]}	60	 
goto(176, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(176, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(176, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(179, value)	{[operation -> compare_op value., ,/$]}	201	{[operation -> compare_op value., ,/$]}
goto(179, item)	{[value -> item.value', ,/$]}	202	{[value -> item.value', ,/$]; [value' -> .+ item value', ,/$]; [value' -> .- item value', ,/$]; [value' -> .$, ,/$]}
goto(179, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(179, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(179, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(179, const)	{[factor -> const., *///%/$]}	56	 
goto(179, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(179, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(179, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(179, STR)	{[const -> STR., *///%/$]}	60	 
goto(179, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(179, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(179, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(180, value)	{[operation -> equal_op value., ,/$]}	203	{[operation -> equal_op value., ,/$]}
goto(180, item)	{[value -> item.value', ,/$]}	202	 
goto(180, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(180, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(180, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(180, const)	{[factor -> const., *///%/$]}	56	 
goto(180, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(180, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(180, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(180, STR)	{[const -> STR., *///%/$]}	60	 
goto(180, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(180, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(180, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(183, init)	{[vars -> , id init.vars, ;]}	204	{[vars -> , id init.vars, ;]; [vars -> ., id init vars, ;]; [vars -> .$, ;]}
goto(183, =)	{[init -> =.expression, ,/$]}	112	 
goto(183, $)	{[init -> $., ,/$]}	113	 
goto(185, stmts)	{[block_stmt -> { stmts.}, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	205	{[block_stmt -> { stmts.}, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(185, stmt)	{[stmts -> stmt.stmts, }]}	36	 
goto(185, $)	{[stmts -> $., }]}	37	 
goto(185, assign_stmt)	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	38	 
goto(185, jump_stmt)	{[stmt -> jump_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	39	 
goto(185, iteration_stmt)	{[stmt -> iteration_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	40	 
goto(185, branch_stmt)	{[stmt -> branch_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	41	 
goto(185, expression)	{[assign_stmt -> expression.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	42	 
goto(185, continue)	{[jump_stmt -> continue.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	43	 
goto(185, break)	{[jump_stmt -> break.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	44	 
goto(185, return)	{[jump_stmt -> return.isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	45	 
goto(185, while)	{[iteration_stmt -> while.( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	46	 
goto(185, for)	{[iteration_stmt -> for.( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	47	 
goto(185, do)	{[iteration_stmt -> do.block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	48	 
goto(185, if)	{[branch_stmt -> if.( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	49	 
goto(185, switch)	{[branch_stmt -> switch.( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	50	 
goto(185, value)	{[expression -> value.operation, ;]}	51	 
goto(185, item)	{[value -> item.value', $/>/>=/	52	 
goto(185, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(185, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(185, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(185, const)	{[factor -> const., *///%/$]}	56	 
goto(185, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(185, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(185, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(185, STR)	{[const -> STR., *///%/$]}	60	 
goto(185, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(185, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(185, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(187, bool_expression)	{[bool_expression -> lop expression bool_expression., )]}	206	{[bool_expression -> lop expression bool_expression., )]}
goto(187, lop)	{[bool_expression -> lop.expression bool_expression, )]}	150	 
goto(187, $)	{[bool_expression -> $., )]}	151	 
goto(187, &&)	{[lop -> &&., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	152	 
goto(187, ||)	{[lop -> ||., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	153	 
goto(189, value')	{[value -> item value'., $/&&/||]}	207	{[value -> item value'., $/&&/||]}
goto(189, +)	{[value' -> +.item value', $/&&/||]}	208	{[value' -> +.item value', $/&&/||]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(189, -)	{[value' -> -.item value', $/&&/||]}	209	{[value' -> -.item value', $/&&/||]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(189, $)	{[value' -> $., $/&&/||]}	210	{[value' -> $., $/&&/||]}
goto(191, ;)	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ;.isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	211	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ;.isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [isnull_expr -> .expression, )]; [isnull_expr -> .$, )]; [expression -> .value operation, )]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(192, ))	{[iteration_stmt -> do block_stmt while ( logical_expression ).;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	212	{[iteration_stmt -> do block_stmt while ( logical_expression ).;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(193, result)	{[branch_stmt -> if ( logical_expression ) block_stmt result., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	213	{[branch_stmt -> if ( logical_expression ) block_stmt result., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(193, else)	{[result -> else.block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	214	{[result -> else.block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [block_stmt -> .{ stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(193, $)	{[result -> $., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	215	{[result -> $., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(194, stmts)	{[block_stmt -> { stmts.}, else/$]}	216	{[block_stmt -> { stmts.}, else/$]}
goto(194, stmt)	{[stmts -> stmt.stmts, }]}	36	 
goto(194, $)	{[stmts -> $., }]}	37	 
goto(194, assign_stmt)	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	38	 
goto(194, jump_stmt)	{[stmt -> jump_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	39	 
goto(194, iteration_stmt)	{[stmt -> iteration_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	40	 
goto(194, branch_stmt)	{[stmt -> branch_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	41	 
goto(194, expression)	{[assign_stmt -> expression.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	42	 
goto(194, continue)	{[jump_stmt -> continue.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	43	 
goto(194, break)	{[jump_stmt -> break.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	44	 
goto(194, return)	{[jump_stmt -> return.isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	45	 
goto(194, while)	{[iteration_stmt -> while.( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	46	 
goto(194, for)	{[iteration_stmt -> for.( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	47	 
goto(194, do)	{[iteration_stmt -> do.block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	48	 
goto(194, if)	{[branch_stmt -> if.( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	49	 
goto(194, switch)	{[branch_stmt -> switch.( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	50	 
goto(194, value)	{[expression -> value.operation, ;]}	51	 
